Published?,Problem or Solution,BUILDING BLOCK or COGNITIVE BIAS,Environmental Tag,World Region,Title,Author,News Source,Date,URL
Published,Solution,Associations,Climate - Communication,Canada and the US,Want everyone else to buy into environmentalism? Never say •À_Earth•À_,Heather Smith,grist,3/12/14,http://grist.org/climate-energy/want-everyone-else-to-buy-into-environmentalism-never-say-earth/
Published,Solution,"Associations, Awareness, Hopeful ",Climate - Communication,Canada and the US,Breaking the Climate Fear Taboo,Renee Lertzman,Sightline Institute,3/12/14,http://daily.sightline.org/2014/03/12/breaking-the-climate-fear-taboo/
Published,Solution,Vivid,None,Canada and the US,"Play it Again and Again, Sam",Alix Spiegel,NPR,4/7/14,http://www.npr.org/blogs/health/2014/04/07/300178813/play-it-again-and-again-sam
Published,Problem,Associations,Climate - Belief,Canada and the US,Global Warming Scare Tactics,Ted Nordhaus and Michael Shellenberger,New York Times,4/8/14,http://www.nytimes.com/2014/04/09/opinion/global-warming-scare-tactics.html
Published,Problem,Associations,Consumption - Buying,Canada and the US,When Environmentalism Does More Harm than Good,Michael Levy,Center for Environmental Policy and Behavior-UC Davis,4/9/14,http://environmentalpolicy.ucdavis.edu/blog/2014/04/336
Published,Problem,Associations,Climate - Communication,Canada and the US,The brutally dishonest attacks on Showtime•À_s landmark climate series,Joseph Romm,grist,4/10/14,http://grist.org/climate-energy/the-brutally-dishonest-attacks-on-showtimes-landmark-climate-series/
Published,Solution,"Associations, Awareness",Climate - General,Canada and the US,Can Empathy Help Stop Climate Change?,Lisa Bennett,Greater Good Berkeley,4/17/14,http://greatergood.berkeley.edu/article/item/can_empathy_stop_climate_change
Published,Solution,Lasting,"Waste Management - Recycle/Reuse/Repurpose, Food - Organic/Sustainable, Consumption - Buying, Consumption - General",Canada and the US,How Reusable Bags Change Shoppers•À_ Grocery Buying Habits,Chris McKinnon,Boston globe media partners,5/6/14,http://boston.cbslocal.com/2015/05/21/using-reusable-bags-changes-shopping-habits-harvard-study-finds/
Published,Problem,Cognitive Bias - Confirmation Bias,Climate - Belief,Canada and the US,Why there is no liberal equivalent to climate change denial,Ben Adler,grist,5/8/14,http://grist.org/politics/why-there-is-no-liberal-equivalent-to-climate-change-denial/
Published,Problem,Cognitive Bias - Confirmation Bias,None,Canada and the US,Vaccine Opponents Can Be Immune to Education,Brendan Nyhan,The New York Times,5/8/14,http://www.nytimes.com/2014/05/09/upshot/vaccine-opponents-can-be-immune-to-education.html?partner=rss&emc=rss&smid=tw-upshot&_r=2&abt=0002&abg=0
Published,Problem,Identity ,None,Canada and the US,I don't want to be right,Maria Konnikova,The New Yorker,5/16/14,http://www.newyorker.com/science/maria-konnikova/i-dont-want-to-be-right
Published,Solution,Vivid,"Pollution - Air, Pollution - Plastics, Wildlife - Conservation",Canada and the US,"These 40 Brilliant Ads Are Shocking, But They'll Make You Think About Important Issues",Distractify Staff,Distractify,5/29/14,http://distractify.com/old-school/2014/05/29/powerful-social-advertisements-1197697406
Published,Solution,"Associations, Relatable",Climate - Belief,Canada and the US,Forget polar bears - The White House may have just figured out how to sell Americans on tackling climate change.,Josh Voorhees,Slate,6/3/14,http://www.slate.com/articles/news_and_politics/politics/2014/06/epa_emissions_regulations_and_climate_change_why_the_white_house_is_talking.html
Published,Solution,"Benefits, Ordinary, Relatable",Climate - Communication,Canada and the US,Transforming the Climate Conversation Through Social•À_Video,None Listed ,Marketing Green,6/5/14,https://marketinggreen.wordpress.com/2015/05/22/transforming-the-climate-conversation-through-social-video/
Published,Solution,"Associations, Benefits, Hopeful, Identity",Climate - Take Action,Canada and the US,The Hot New Frontier of Energy Research Is Human Behavior,Brandon Keim,Wired,6/9/14,http://www.wired.com/2014/06/energy-and-human-behavior/
Published,Solution,"Associations, Hopeful",Oceans - General,"Canada and the US, Europe","Hey Environmentalists, Let's Tell a Positive Story",Rachel Dearborn,Medium,6/9/14,https://medium.com/@rdearborn/hey-environmentalists-lets-stop-being-so-depressing-c0d28bd7cad5
Published,Solution,Vivid ,None,Canada and the US,The Psychology of a Memorable Lunch,Wray Herbert,The Huffington Post,6/16/14,http://www.huffingtonpost.com/wray-herbert/the-psychology-of-a-memor_b_5158650.html
Published,Problem,Cognitive Bias - General ,None,Canada and the US,58 Cognitive Biases That Screw Up Everything We Do,Drake Baer and Gus Lubin,Business Insider,6/18/14,http://www.businessinsider.com/cognitive-biases-2014-6?op=1
Published,Solution,Lasting,Climate - Take Action,Canada and the US,"To motivate climate activists, use optimism",Heather Smith,grist,6/26/14,http://grist.org/climate-energy/to-motivate-climate-activists-use-optimism/
Published,Solution,"Associations, Relatable",Climate - Communication,Canada and the US,Meet the Scientists Who Might End the Climate Culture Wars,Emily Gertz,Popular Science,7/3/14,http://www.popsci.com/article/science/meet-scientist-who-might-end-climate-culture-wars
Published,Solution,"Hopeful, Relatable",None,Canada and the US,Comedy vs. anti-science: 10 amazing videos that show how humor can make a difference,Sarah Gray,Salon,7/6/14,http://www.salon.com/2014/07/06/comedy_vs_anti_science_10_amazing_videos_that_show_how_humor_can_make_a_difference/
Published,Solution,"Easy, Vivid",Waste Management - Littering,Europe,"The green footprints reach Ashfield, England",Simon Snoghoj,iNudgeyou,7/14/14,http://inudgeyou.com/green-footprints-ashfield/
Published,Solution,Benefits,Waste Management - Recycle/Reuse/Repurpose,Europe,This Genius Machine Feeds Stray Dogs in Exchange for Recycled Bottles,Kimberly Yam,The Huffington Post,7/23/14,http://www.huffingtonpost.com/2014/07/23/pugedon-vending-machine_n_5606494.html
Published,Solution,Easy,None,Europe ,"In Tests, Scientists Try to Change Behavior",Shirley S. Wang,The Wall Street Journal,7/28/14,http://www.wsj.com/articles/in-tests-scientists-try-to-change-behaviors-1406588998
Published,Solution,Ordinary,Waste Management - Littering,Canada and the US,Littering and Following the Crowd,Vivian Wagner,The Atlantic,8/1/14,http://www.theatlantic.com/health/archive/2014/08/littering-and-following-the-crowd/374913/
Published,Solution,"Awareness, Ordinary, Relatable",Climate - Take Action,Canada and the US,How to Make Narcissists Think Green is the New Black,Iman Naderi and David Strutton,frank,8/7/14,http://frank.jou.ufl.edu/frankology/how-to-make-narcissists-think-green-is-the-new-black/
Published,Solution ,Easy ,None,Canada and the US,Do you prefer more choice or less? It depends on distance,Art Markman,Smart Thinking,8/7/14,http://www.smartthinkingbook.com/2014/08/do-you-prefer-more-choice-or-less-it.html
Published,Solution,"Associations, Vivid",Climate - Communication,Canada and the US,"The Climate Movement Needs Rebranding, But These Milton Glaser Buttons Won't Do It",Adele Peters,Fast CoExist,8/8/14,http://www.fastcoexist.com/3034104/the-climate-movement-needs-rebranding-but-these-milton-glazer-buttons-wont-do-it
Published,Solution,"Associations, Relatable",Climate - Communication,Canada and the US,Meet the New Spokespeople for Climate Change: Politicians,"Robert Brulle, Jason Carmichael and J. Craig Jenkins",frank,8/11/14,http://frank.jou.ufl.edu/frankology/meet-the-new-spokespeople-for-climate-change-politicians/
Published,Solution,Awareness ,Climate - General,Canada and the US,The Nature of Humans,Rod Fujita and Nya Van Leuvan,The Huffington Post,8/20/14,http://www.huffingtonpost.com/rod-fujita/the-nature-of-humans_b_5695242.html
Published,Solution,Lasting,Waste Management - Recycle/Reuse/Repurpose,Middle East,Our wasteful lives and the urgent need to change our habits,Fatima Al Shamsi,The National,8/21/14,http://www.thenational.ae/opinion/comment/our-wasteful-lives-and-the-urgent-need-to-change-our-habits
Published,Solution,Associations,Climate - Belief,Canada and the US,"Instead of Arguing About Whether Climate Change is Real, Change the Story",frameworksinstitute,Frameworks Institute,8/25/14,http://frameblog.org/2014/08/25/instead-of-arguing-about-whether-climate-change-is-real-change-the-story/
Published,Solution,"Associations, Easy, Hopeful, Ordinary",Climate - Communication,Europe,5 strategies for better climate communication ,Per Espen Stoknes and Sigrid Moyner Hohle,Talking Climate ,8/26/14,http://talkingclimate.org/5-strategies/
Published,Solution,Vivid,Climate - Communication,Canada and the US,"Virtual Reality Could Help Teach Sustainable Habits, Change Long Term Behavior",Sami Grover,The Huffington Post,8/26/14,http://www.huffingtonpost.com/2014/08/26/virtual-reality-sustainable-habits_n_5717647.html
Published,Solution,Relatable ,Climate - Belief,Europe,UK•À_s winter floods strengthen belief humans causing climate change •À_ poll,None listed,The Guardian,8/27/14,http://www.theguardian.com/environment/2014/aug/27/uk-winter-floods-climate-change
Published,Solution,Easy,Consumption - Energy,Europe,Nudging Can Save Europe Billions of Euros on Energy Bills,Alex Morales,Bloomberg,8/29/14,http://www.bloomberg.com/news/2014-08-29/nudging-can-save-europe-billions-of-euros-on-energy-bills.html
Published,Solution,"Easy, Hopeful",Consumption - Energy,Canada and the US,Sustainable: Reducing energy use through behavioral science,•À_Frank Jossi,Finance & Commerce,9/1/14,http://finance-commerce.com/2014/09/sustainable-reducing-energy-use-through-behavioral-science/
Published,Solution,Easy,Waste Management - Recycle/Reuse/Repurpose,Europe,Recycling in the home: how to break down barriers,Joe Franses,The Guardian,9/2/14,http://www.theguardian.com/sustainable-business/behavioural-insights/2014/sep/02/recycling-home-break-down-barriers
Published,Solution,Ordinary,None,"Canada and the US, Europe",Motivations and money-raising in a social media world,Alix Barasch,Research Live,9/5/14,http://www.research-live.com/features/motivations-and-money-raising-in-a-social-media-world/4012202.article
Published,Solution,Relatable,Climate - Communication,Canada and the US,Red-State Cities Find Euphemisms To Prepare for Global Warming,John Flesher,Talking Points Memo,9/9/14,http://talkingpointsmemo.com/news/red-state-cities-find-euphemisms-prepare-global-warming•À_•À_
Published,Solution,Lasting,Climate - Communication,Canada and the US,How Not to Teach Climate Change,Tania Lombrozo,NPR,9/15/14,http://www.npr.org/blogs/13.7/2014/09/15/348629576/how-not-to-teach-climate-change?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20140915
Published,Solution,"Hopeful, Relatable ",Climate - Communication,"Canada and the US, Europe",Three Ways to build deep public support on climate change,Adam Corner,The Guardian,9/18/14,http://www.theguardian.com/sustainable-business/2014/sep/18/build-support-climate-change-campaign
Published,Problem,Cognitive Bias - Moral licensing,None,Canada and the US,Being Good Isn't Zero Sum,Tania Lombrozo,NPR,9/22/14,http://www.npr.org/blogs/13.7/2014/09/22/350519216/being-good-isnt-zero-sum?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20140922
Published,Problem,"General, Hopeful",Climate - Take Action,"Africa, Central and South America, Asia, Canada and the US, Europe, Oceania",Greendex 2014: Increased Fears About Environment Not Reflected in Consumer Behavior,Sustainable Brands,Sustainable Brands,9/26/14,http://www.sustainablebrands.com/news_and_views/new_metrics/sustainable_brands/new_metrics_%E2%80%9914_increased_fears_about_environment_not_?utm_source=Twitter&utm_medium=schtweets&utm_campaign=editorial
Published,Solution,Associations,Climate - Communication,Canada and the US,Psychologists are Learning How to Convince Conservatives to Take Climate Change Seriously,Jesse Singal,Science of Us,10/1/14,http://nymag.com/scienceofus/2014/09/how-to-convince-conservatives-on-climate-change.html?utm_content=buffercaf8d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
Published,Solution,Benefits,Consumption - Energy,"Africa, Central and South America, Asia",Greening Building Design with the Click of a Mouse,None Listed ,The World Bank,10/2/14,http://www.worldbank.org/en/news/feature/2014/10/01/greening-building-design-click-mouse?hootPostID=55b303f41aa136b30435ec6855926143
Published,Solution,"Easy, Relatable",None,Europe,Real time advertising could play role in sustainable behaviour change,Harriet Kingabay,The Guardian,10/3/14,http://www.theguardian.com/sustainable-business/2014/oct/03/real-time-advertising-persuade-people-recycle
Published,Solution,"Ordinary, Vivid",Climate - Communication,Canada and the US,"Nature is Speaking Through Harrison Ford, Julia Roberts, and Kevin Spacey, and She is Pissed",Jeff Beer,Fast Cocreate,10/6/14,http://www.fastcocreate.com/3036634/nature-is-speaking-through-harrison-ford-julia-roberts-and-kevin-spacey-and-she-is-pissed
Published,Solution,"Easy, Relatable",Consumption - Energy,Europe,Eco laundry habits are about more than sustainable washing machines,Luke Yates and David Evans,The Guardian,10/9/14,http://www.theguardian.com/sustainable-business/behavioural-insights/2014/oct/09/eco-laundry-sustainable-washing-machines
Published,Problem,Cognitive Bias - Projection Bias,None,Canada and the US,Buyer Beware of Cold Snaps,Cass R. Sunstein,Bloomberg View,10/13/14,http://www.bloombergview.com/articles/2014-10-13/buyer-beware-of-cold-snaps
Published,Solution,Identity,None,Canada and the US,Foot-in-the-Door Technique: How to get People to Seamlessly Take Action,Neil Patel,Forbes,10/13/14,http://www.forbes.com/sites/neilpatel/2014/10/13/foot-in-the-door-technique-how-to-get-people-to-take-seamlessly-take-action/
Published,Solution,"Awareness, Relatable",Climate - Take Action,Canada and the US,Remember Me: Personal Legacy and Global Warming,Wray Herbert,The Huffington Post,10/15/14,http://www.huffingtonpost.com/wray-herbert/remember-me-personal-lega_b_5991314.html
Published,Problem,Lasting,Climate - Take Action,"Africa, Central and South America, Asia, Canada and the US, Europe, Oceania",Fears About Environment Rising •À_ Sustainable Behavior Falling,None Listed ,GLOBE-Net,10/23/14,http://globe-net.com/fears-environment-rising-sustainable-behavior-falling/
Published,Solution,Associations ,Climate - Communication,Canada and the US,Three Traps to Avoid When Speaking About the•À_Environment,Lisa Bennett,lisabennet.org,10/31/14,http://lisabennett.org/2014/10/31/three-traps-to-avoid-when-speaking-about-the-environment/
Published,Problem,Easy ,None,Canada and the US,The Devil on Your Shoulder Likes to Sleep In,Matt Richtel,The New York Times,11/1/14,http://www.nytimes.com/2014/11/02/business/that-devil-on-your-shoulder-likes-to-sleep-in.html?smid=fb-share
Published,Problem,"Associations, Relatable",Climate - Belief,Canada and the US,Conservatives don•À_t hate climate science. They hate the left•À_s climate solutions,Chris Mooney,The Washington Post,11/10/14,https://www.washingtonpost.com/news/wonk/wp/2014/11/10/conservatives-dont-hate-climate-science-they-hate-the-lefts-climate-solutions/
Published,Problem,"Associations, Vivid",Climate - Belief,Canada and the US,How 'Solution Aversion' and Global Warming Prescriptions Polarize the Climate Debate,Andrew C. Revkin,The New York Times,11/10/14,http://dotearth.blogs.nytimes.com/2014/11/10/how-solution-aversion-and-global-warming-prescriptions-polarize-the-climate-debate/?emc=edit_tnt_20141111&nlid=59604398&tntemail0=y&_r=2
Published,Solution,Lasting,"Consumption - Energy, Consumption - General",Canada and the US,Green Living Certification: Rewarding Residents for Environmentally Friendly Lifestyles,Bailey Rowland and Julian Goresko,AASHE: Association for the Advancement of Sustainability in Higher Education.•À_,11/18/14,https://hub.aashe.org/browse/types/casestudy/
Published,Solution,Associations,None,Canada and the US,Problems Need Solutions,Nat Kendall-Taylor ,FrameWorks Institute,11/18/14,http://frameblog.org/2014/11/18/problems-need-solutions/
Published,Solution,"Associations, Identity",None,Canada and the US,Your New Year's Resolutions Will Fail (Again) - Unless You do This,Stephen J. Meyer,Forbes,11/18/14,http://www.forbes.com/sites/stevemeyer/2014/11/18/your-new-years-resolutions-will-fail-again-unless-you-do-this/
Published,Solution,"Associations, Relatable",Climate - Communication,"Canada and the US, Europe",Science Won't Win Over the Climate Change Sceptics - We Need Stories,Adam Corner,The Guardian,12/2/14,http://www.theguardian.com/sustainable-business/behavioural-insights/2014/dec/02/science-wont-win-over-sceptics-climate-change
Published,Solution,"Awareness, Relatable",Climate - Take Action,Canada and the US,The 7 psychological reasons that are stopping us from acting on climate change,Chris Mooney,The Washington Post,12/11/14,https://www.washingtonpost.com/news/wonk/wp/2014/12/11/the-7-psychological-reasons-that-are-stopping-us-from-acting-on-climate-change/
Published,Solution,Vivid,Human Health - Waste Management,Asia,World Bank Report Stresses Behavioural Aspects,Puja Mehra,The Hindu,12/14/14,http://www.thehindu.com/news/national/world-bank-report-stresses-behavioural-aspects/article6691378.ece
Published,Solution,"Associations, Benefits, Easy, Hopeful, Ordinary, Relatable, Vivid",Climate - Belief,Canada and the US,Need to talk to a climate denier? Here's how,Mike Hower,GreenBiz,12/16/14,http://www.greenbiz.com/article/need-talk-climate-denier-heres-how
Published,Solution,Associations,Climate - General,Europe,No Cause is an Island: How People are Influenced by Values Regardless of the Cause,Tom Crompton,Common Cause Foundation,12/16/14,http://valuesandframes.org/no-cause-is-an-island/
Published,Solution,Associations,"Energy - Renewables, Pollution - Air",Canada and the US,3 Lessons from Testing Images and Appeals for Online Action in 2014,Jeff Cappella,Resource Media,12/17/14,http://www.resource-media.org/3-lessons-from-testing-images-and-appeals-for-online-action-in-2014/
Published,Solution,Identity,None,Canada and the US,The Science of Setting Goals,Nadia Goodman,ideas.ted,12/22/14,http://ideas.ted.com/the-science-of-setting-goals/
Published,Solution,Identity,None,Canada and the US,Here's the secret to sticking to New Year's Resolutions,Martha Ross,San Jose Mercury News,12/31/14,http://www.mercurynews.com/bay-area-living/ci_27229262/heres-secret-sticking-new-years-resolutions
Published,Problem,Associations ,Climate - Belief,Canada and the US,The Negative Social Impact of Conspiracy Theories,Karen Douglas,The New York Times,1/4/15,http://www.nytimes.com/roomfordebate/2015/01/04/are-conspiracy-theories-all-bad-17/the-negative-social-impact-of-conspiracy-theories
Published,Solution,"Easy, Lasting",None,"Asia, Canada and the US",What Heroin Addiction Tells Us About Changing Bad Habits,Alix Spiegel,NPR,1/5/15,http://www.npr.org/blogs/health/2015/01/05/371894919/what-heroin-addiction-tells-us-about-changing-bad-habits?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20150105
Published,Solution,Vivid,Waste Management - Littering,Asia,Are you a litter bug? How that can change with an extra set of eyes,Kathy Adam,One Green Planet,1/5/15,http://www.onegreenplanet.org/environment/are-you-a-litter-bug-how-that-can-change-with-an-extra-set-of-eyes/
Published,Solution,"Easy, Vivid",Waste Management - Recycle/Reuse/Repurpose,Europe,Edinburgh recycling rates soar 85 per cent,None Listed ,Edinburgh Evening News,1/5/15,http://www.edinburghnews.scotsman.com/news/edinburgh-recycling-rates-soar-85-per-cent-1-3650917
Published,Solution,Associations,Climate - General,Canada and the US,Valuing the Science of Climate Science,frameworksinstitute,Frameworks Institute,1/7/15,http://frameblog.org/2015/01/07/valuing-the-science-of-climate-change/
Published,Solution,"Associations, Relatable, Vivid",Climate - General,Canada and the US,What Will You Leave Behind? How Personal Legacy Affects Pro-Environmental Behavior,Courtney St. John,"State of the Planet-Earth Institute, Columbia University",1/8/15,http://blogs.ei.columbia.edu/2015/01/08/what-will-you-leave-behind-how-personal-legacy-affects-pro-environmental-behavior/
Published,Problem,Associations,Environmental Policy,Europe,Some Psychological Consequences of Putting a Price on Nature,Tom Crompton,Common Cause Foundation,1/8/15,http://valuesandframes.org/some-psychological-consequences-of-putting-a-price-on-nature/
Published,Problem,Cognitive Bias - Identifiable Victim Effect,None,Canada and the US,The bizarre human tendency that made 'Baby Jessica' a household name in 1987," Maz Ali",Upworthy,1/8/15,http://www.upworthy.com/the-bizarre-human-tendency-that-made-baby-jessica-a-household-name-in-1987
Published,Solution,Lasting,Consumption - Energy,"Asia, Canada and the US",A technology pioneered by electric utilities could help American drivers use 13% less energy. Here's how,Aaron Tinjum,Opower,1/9/15,http://blog.opower.com/2015/01/us-drivers-13-less-energy/
Published,Solution,Easy,Waste Management - General,Canada and the US,These Disappearing Packages Are Just Freakin' Cool,Adam Albright-Hanna,Good,1/9/15,http://magazine.good.is/articles/packaging-reimagined?utm_source=Facebook&utm_medium=Source&utm_campaign=goodfb
Published,Solution,"Easy, Vivid",Waste Management - Recycle/Reuse/Repurpose,Europe,Edinburgh 'Nudging' Success in Recycling,Iain Gulland,Zero Waste Scotland,1/9/15,http://www.zerowastescotland.org.uk/content/edinburgh-%E2%80%98nudging%E2%80%99-success-recycling
Published,Solution,Vivid,None,Canada and the US,"The More, the Better: Repetition Propels Songs Up the Charts",None listed,NPR,1/11/15,http://www.npr.org/2015/01/11/376496332/the-more-the-better-repetition-propels-songs-up-the-charts
Published,Solution,Relatable ,Consumption - Energy,Canada and the US,Energy Conservation Lesson: Saving Lives Motivates People to Use Less Electricity,Susan Scutti,Medical Daily,1/12/15,http://www.medicaldaily.com/energy-conservation-lesson-saving-lives-motivates-people-use-less-electricity-317442
Published,Solution,"Associations, Relatable, Vivid",Climate - Communication,Europe,Image Problem: are we using the wrong photographs to illustrate migration and climate change?,Alex Randall,UK Climate Change & Migration Coalition,1/14/15,http://climatemigration.org.uk/image-problem-are-we-using-the-wrong-photographs-to-illustrate-migration-and-climate-change/
Published,Solution,Awareness ,None,Canada and the US,It's Time to Get Acquainted with Your Future Self,Melissa Dahl,Science of Us,1/14/15,http://nymag.com/scienceofus/2015/01/time-to-get-acquainted-with-future-you.html?mid=twitter_scienceofus
Published,Solution,"Associations, Relatable",Climate - Communication,Canada and the US,The words we use matter in climate change adaptation,Amy Freitag,Southern Fried Science,1/17/15,http://www.southernfriedscience.com/?p=18074
Published,Solution,"Easy, Hopeful",None,Canada and the US,Helping the Poor in Education: The Power of a Simple Nudge,Susan Dynarski,The New York Times,1/17/15,http://www.nytimes.com/2015/01/18/upshot/helping-the-poor-in-higher-education-the-power-of-a-simple-nudge.html?smid=fb-nytimes&smtyp=cur&bicmp=AD&bicmlukp=WT.mc_id&bicmst=1409232722000&bicmet=1419773522000&abt=0002&abg=0
Published,Solution,Associations,Climate - Communication,Canada and the US,Why it's good to laugh at climate change,Adam Corner,The Guardian,1/20/15,http://www.theguardian.com/environment/2015/jan/20/why-its-good-to-laugh-at-climate-change
Published,Solution,Ordinary,Consumption - Freshwater,Canada and the US,Every Flush You Take,Andrew Leonard,Backchannel,1/20/15,https://medium.com/backchannel/conserving-water-with-software-and-shame-3a846c01b811
Published,Solution,"Identity, Lasting",None,Canada and the US,Changing a Habit can Mess With Your Sense of Self,Melissa Dahl,Science of Us,1/20/15,http://nymag.com/scienceofus/2015/01/changing-a-habit-can-mess-with-your-identity.html
Published,Solution,Easy,Energy - General,Canada and the US,The Next Energy Revolution Will Be in Human Behavior,Chris Mooney,Standard Examiner,1/24/15,http://www.standard.net/Business/2015/01/24/The-next-energy-revolution-won-t-be-in-wind-or-solar-but-in-human-behavior.html
Published,Problem ,"Awareness, Relatable, Associations ",Climate - Belief,Canada and the US,Can your personality explain how you feel about the Keystone XL pipeline?,Chris Mooney,The Washington Post,1/27/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/01/27/can-your-personality-explain-how-you-feel-about-the-keystone-xl-pipeline/?postshare=3321422455709727
Published,Problem,Cognitive Bias - General,None,Europe,Blissful Ignorance Is Almost Our Natural State,Nick Chater,WBS Blog,1/27/15,http://www.wbs.ac.uk/news/blissful-ignorance-is-almost-our-natural-state/
Published,Solution,Benefits,Waste Management - Composting,Canada and the US,Seattle to Shame Residents for Throwing Away Food,Sara Bernard,grist,1/27/15,http://grist.org/news/seattle-to-shame-residents-for-throwing-away-food/
Published,Solution,"Associations, Relatable","Land Use - Agriculture, Climate - Belief",Canada and the US,What Do Farmers Think About Climate Change,Niina Heikkinen,Scientific American,1/28/15,http://www.scientificamerican.com/article/what-do-farmers-think-about-climate-change/
Published,Problem,Associations,Climate - Belief,Canada and the US,"Americans Believe in Science, Just Not its Findings",Julie Beck,The Atlantic,1/29/15,http://www.theatlantic.com/health/archive/2015/01/americans-believe-in-science-just-not-its-findings/384937/
Published,Solution,"Relatable, Vivid",Climate - Belief,Europe,UK flood victims less likely to be climate skeptics,Adam Corner,The Guardian,1/29/15,http://www.theguardian.com/sustainable-business/2015/jan/29/climate-change-communicate-risk-appeal-popular-opinion
Published,Solution,Ordinary,Climate - Take Action,Canada and the US,"Is Shame Necessary? New Uses for an Old Tool by Jennifer Jacquet, review: 'daring but lopsided'",Robert Douglas-Fairhurst,The Telegraph,2/2/15,http://www.telegraph.co.uk/culture/books/bookreviews/11376490/Is-Shame-Necessary-New-Uses-for-an-Old-Tool-by-Jennifer-Jacquet.html
Published,Solution,Associations,Climate - Take Action,Europe,Time-as-Money Mindset Decreases Green Behaviors,Tom Jacobs,Pacific Standard Magazine,2/4/15,http://www.psmag.com/business-economics/time-as-money-mindset-decreases-green-behaviors
Published,Solution,Relatable ,"Climate - Belief, Natural Disasters",Canada and the US,Extreme weather can be a teaching moment to change opinions about future climate risks ,Niina Heikkinen,ClimateWire,2/6/15,http://www.eenews.net/climatewire/2015/02/06/stories/1060013001
Published,Solution,"Benefits, Ordinary",Consumption - Energy,Canada and the US,Money Versus Morals: Why Economic Rewards Trump Polite Messaging in Efficiency,Stephen Lacey,The Energy Collective,2/6/15,http://theenergycollective.com/stephenlacey/2189811/money-versus-morals-why-economic-rewards-trump-polite-messaging-efficiency
Published,Solution,Ordinary,Climate - Take Action,Canada and the US,Want to Save the Planet? Neighbors Make Better Allies than Family,Basil D. N. Waugh,The University of Vermont,2/10/15,http://www.uvm.edu/~uvmpr/?Page=news&storyID=20208&category=ucommfeatureb
Published,Solution,Easy,Consumption - Buying,Canada and the US,New OpenLabel app offers product information for eco-minded consumers,Timothy Pratt,The Guardian,2/10/15,http://www.theguardian.com/sustainable-business/2015/feb/10/openlabel-app-consumer-information-google-facebook
Published,Solution,"Associations, Relatable",Energy - Renewables,Canada and the US,Want to get conservatives to save energy? Stop the environmentalist preaching,Chris Mooney,The Washington Post,2/12/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/02/12/the-best-way-to-get-conservatives-to-save-energy-is-to-stop-the-environmentalist-preaching/?postshare=7031423829099147
Published,Solution,Associations,Climate - General,Canada and the US,Verbal Warming: Labels in the Climate Debate,Justin Gillis,The New York Times,2/12/15,http://www.nytimes.com/2015/02/17/science/earth/in-climate-change-whats-in-a-name.html?action=click&pgtype=Homepage&module=c-column-middle-span-region&region=c-column-middle-span-region&WT.nav=c-column-middle-span-region
Published,Problem,"Associations, Easy",None,Canada and the US,People Value Resources More Consistently When They Are Scarce,Anuj K. Shah,Association of Psychological Science,2/12/15,http://www.psychologicalscience.org/index.php/news/releases/people-value-resources-more-consistently-when-they-are-scarce.html
Published,Solution,Relatable,Climate - Communication,Canada and the US,What the Environmental Community Has Is a 'Failure to Communicate',Miroslava Korenha,Huffington Post,2/17/15,http://www.huffingtonpost.com/miroslava-korenha/what-the-environmental-co_b_6350424.html
Published,Problem,Cognitive Bias - Illusion of Causality ,None,Canada and the US,Your brain is primed to reach false conclusions,Christie Aschwanden,FiveThirtyEight,2/17/15,http://fivethirtyeight.com/features/your-brain-is-primed-to-reach-false-conclusions/
Published,Solution,Lasting,Waste Management - Recycle/Reuse/Repurpose,Oceania,Push to encourage small changes to household recycling habits could have bigger benefits,Tom Joyner,Canberra Times,2/17/15,http://www.canberratimes.com.au/act-news/push-to-encourage-small-changes-to-household--recycling-habits-could-have-bigger-benefits-20150215-13fpmp.html
Published,Solution,Associations,Climate - Communication,Canada and the US,The term that actually makes climate change less political,Puneet Kollipara,The Washington Post,2/18/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/02/18/the-term-that-actually-makes-climate-change-less-political/?postshare=761424787135937
Published,Solution,Lasting,Whole System - Carbon Footprint,Canada and the US,Games Help Save Energy,Manon Verchot,Scientific American,2/18/15,http://www.scientificamerican.com/article/games-help-save-energy/
Published,Solution,Associations,Climate - Belief,Canada and the US,Climate science literacy unrelated to public acceptance of human-caused global warming,Yale University,Phys.org,2/23/15,http://phys.org/news/2015-02-climate-science-literacy-unrelated-human-caused.html
Published,Problem,Associations,Climate - Communication,Europe,Five ways that people frame climate change debates,Laurence and Alison Matthews,The Guardian,2/23/15,http://www.theguardian.com/sustainable-business/2015/feb/23/five-ways-that-people-frame-climate-change-debates
Published,Solution,Ordinary,None,Canada and the US,How Peer Pressure May Encourage Delinquents to Pay Up,Shankar Vedantam,NPR,2/25/15,http://www.npr.org/2015/02/25/388902014/peer-pressure-may-encourage-tax-delinquents-to-pay-up?sc=17?f=&utm_source=iosnewsapp&utm_medium=Email&utm_campaign=app
