Website?,Problem or Solution?,BUILDING BLOCK,Substep,Environmental Tag,Environmental SubTag,World Region,Title,Author,Publisher,Date,Abstract,URL,Notes,,,,,,,,,,,,
Yes,Solution,Relatable ,Relate it to personal experience,Climate - Mitigation,"effeciencies , behavior",Canada and the US,The Relatable Threat of Environmental Problems as Predictor of Environmental Practices,"Baldassare, M., & Katz, C.",Environment and Behavior,1992,"In the 1990 Orange County (CA) Annual Survey, residents who perceive that environmental problems pose a very serious threat to their health and well-being are more likely to engage overall in environmental practices and, specifically, to recycle, conserve water, buy environmentally safe products, and limit their driving. Relatable environmental threat is a better predictor of overall environmental practices than are demographic variables and political factors. Perceived environmental threat is highest among younger residents, women, liberals, and Democrats. Future directions for research on perceived environmental threat in particular, and environmental concern in general, are discussed.",http://eab.sagepub.com/content/24/5/602,Relatable risk as a motivation for mitigation behavior,,,,,,,,,,,,
Yes,Solution,Relatable ,Relate it to personal experience,"Climate - Mitigation, Climate - Belief","effeciencies , behavior",Europe,Climate Change: Believing and Seeing Implies Adapting,"Blennow, K., Persson, J., T�me, M., & Hanewinkel, M.",PLOS One,2012,"Knowledge of factors that trigger human response to climate change is crucial for effective climate change policy communication. Climate change has been claimed to have low salience as a risk issue because it cannot be directly experienced. Still, personal factors such as strength of belief in local effects of climate change have been shown to correlate strongly with responses to climate change and there is a growing literature on the hypothesis that personal experience of climate change (and/or its effects) explains responses to climate change. Here we provide, using survey data from 845 private forest owners operating in a wide range of bio-climatic as well as economic-social-political structures in a latitudinal gradient across Europe, the first evidence that the personal strength of belief and perception of local effects of climate change, highly significantly explain human responses to climate change. A logistic regression model was fitted to the two variables, estimating expected probabilities ranging from 0.07 (SD �0.01) to 0.81 (SD �0.03) for self-reported adaptive measures taken. Adding socio-demographic variables improved the fit, estimating expected probabilities ranging from 0.022 (SD �0.008) to 0.91 (SD �0.02). We conclude that to explain and predict adaptation to climate change, the combination of personal experience and belief must be considered.",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3504002/,,,,,,,,,,,,,
Yes,Problem,Blindspot bias,,"Climate - Mitigation, Wildlife - conservation",,Canada and the US,"Third-Person Effects and the Environment: Social Distance, Social Desirability, and Presumed Behavior ","Jakob, D. J., & Hurley, R. J.",Journal of Communication,2006,"Previous research has documented third-person effects (persons presuming that others will be more susceptible to media effects than they themselves are) and explored moderators such as social desirability (the effect reverses when the media effects are undesirable) and social distance (the effect increases as the social distance from the self increases). In a study of environmental news coverage, the authors observed the general third-person effect and the moderating role of social desirability; however, they also found that social distance affected presumed influence in complex ways reflecting varying perceptions of issue relevance for the comparison groups. A new variable, presumed behavior (the presumed effect of media coverage on others' behavior), was found to be independent of presumed influence and to offer improved prediction of perceivers' behavioral intentions.",http://onlinelibrary.wiley.com/doi/10.1111/j.1460-2466.2005.tb02670.x/abstract,,,,,,,,,,,,,
Yes,Solution,Relatable ,,Climate Change,,Asia,"Cyclone Sidr in Bangladesh: Damage, loss, and needs assessment for disaster recovery and reconstruction",Government of Bangladesh,Reliefweb,2008,"On 15 November 2007, Cyclone Sidr struck the south-west coast of Bangladesh with winds up to 240 kilometers per hour. The category 4 storm was accompanied by tidal waves up to five meters high and surges up to 6 meters in some areas, breaching coastal and river embankments, flooding low-lying areas and causing extensive physical destruction. High winds and floods also caused damage to housing, roads, bridges, and other infrastructure. Electricity and communication were knocked out, and roads and waterways became impassable. Drinking water was contaminated by debris and many sources were inundated with saline water from tidal surges, and sanitation infrastructure was destroyed.The cyclone was the second natural disaster to affect Bangladesh in twelve months. Monsoon floods had previously caused extensive agricultural production losses and destruction of physical assets, totaling near US$ 1.1 billion. The occurrence of these events in close succession is a reminder of the country's extreme vulnerability to frequent hydro-meteorological hazards, which stand to be further exacerbated because of climate change.",http://reliefweb.int/report/bangladesh/cyclone-sidr-bangladesh-damage-loss-and-needs-assessment-disaster-recovery-and,,,,,,,,,,,,,
Yes,Solution,Relatable ,,Climate Change,Natural Disasters,"Asia, Africa",Bangladesh: Disasters and Public Finance,"Benson, C., & Clay, E.",The World Bank,2002,"This report is based on a selective desk review of the extensive published literature and official documentation onBangladesh's economy, public finances and natural disasters, as well as visits by the authors to Dhaka fromFebruary 2-13, and from September 1-6, 2001. In this connection, the authors would like to thank BangladeshGovemment and Bangladesh Bank officials as well as many other people in Dhaka, hopefully all listed in AnnexB, who generously gave their time and provided invaluable ideas and information without which this report couldnot have been completed. The practical assistance provided by SocioconsuH, in particular Clement Perris, whoquickly and successfully completed a brief survey of NGOs, and Alamgir Chowdhury is much appreciated. MavisClay assisted with the preparation of the report. The maps were prepared by Jim Dempster. The constructivecomments on the draft report made by Dr Q.K. Ahmad, Mr Hugh Brammer, Dr. Omer Haider Chowdhury, Dr. PaulDorosh, Mr. Alistair Femie, Dr. Nabiul Islam, Mr Kazi Fazlur Rahman and Dr. Quazi Shahabuddin were especiallyhelpful.",http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2003/07/26/000094946_03071512065261/Rendered/PDF/multi0page.pdf,,,,,,,,,,,,,
Yes,Solution,Ordinary,,Conservation,,Canada and the US,Nudging Toward a Healthy Natural Environment: How Behavioral Change Research Can Inform Conservation,"Akerlof, K., & Kennedy, C. ",George Mason University,2013,"As the world's human population has surpassed 7 billion, few places on the globe escape the pervasive impact of our species. Human behavior constitutes the primary threat to the world's biodiversity both directly, via harvesting of living natural resources, and indirectly, as a result of habitat destruction, pollution, the introduction of invasive species, and climate change.While traditional policy tools, such as regulations, taxes, and subsidies, have been successful in achieving many conservation gains, continued environmental degradation has spurred interest in new ""soft policy"" approaches based on social and behavioral science that encourage the voluntary adoption of individual behaviors supportive of sustainable resource use. This paper synthesizes foundational knowledge from psychology and behavioral economics, and other applied fields like public health, to develop recommendations for incorporating behavioral change interventions in promotion of the health and wellbeing of natural ecosystems. We identify five ""areas of influence"" that provide opportunities for promoting pro-environmental behavior: attitudes, agency, emotions, social norms, and environmental or decision context.We discuss the ways in which these areas of influence might be utilized by conservation practitioners and provide a framework within an adaptive management structure for the implementation and evaluation of behavioral-change interventions targeted at individuals.",http://www.issuelab.org/resource/nudging_toward_a_healthy_natural_environment_how_behavioral_change_research_can_inform_conservation,,,,,,,,,,,,,
Yes,Solution,Associations,Invoke loss aversion to motivate the audience,Consumption - Buying,energy efficient appliances,Europe,Loads of green washing�can behavioural economics increase willingness-to-pay for efficient washing machines in the UK?,"Bull, J.",Energy Policy,2012,"The EU energy efficiency labelling scheme has successfully increased demand for efficient appliances by providing a prominent letter rating to consumers during their product search. Behavioural economics (BE) suggests the adoption of efficient appliances could be accelerated further by: (i) monetising efficiency, (ii) directly communicating the link between efficiency and carbon emissions, (iii) commu- nicating the long-term (e.g., operational life) financial and environmental impact of product choices, and, (iv) framing the information as avoided losses (�extra�) rather than gains (�savings�). This study tested these hypotheses via an online, stated preference survey of 465 UK residents using actual market pricing and efficiency data for washing machines. The provision of information about either running costs or running emissions did encourage selection of more expensive and efficient products (strongly correlated variables in the choice set and actual market) (po.001, r1�4.30�.41) with no statistically significant difference between their impact. Providing lifetime running cost information also nudged respondents towards more expensive, efficient products than annual information (p 1�4 .006�.027, r1�4.15�.18). Finally, loss-framed running emissions information encouraged selection of more expen- sive, efficient products than gain-framed information (p o .05, r 1�4 .13�.16). The EU label is an impracticable means of communication, but digital communication channels (e.g., price comparison websites) may offer potential for inexpensive localisation and personalisation of the information. The results suggest that successful communication could benefit the private sector whilst making a contribution to reducing carbon emissions.",,,,,,,,,,,,,,
Yes,Solution,Easy,Make it the default setting,"Consumption - Buying, Consumption - Paper, Consumption - Energy",,"Canada and the US, Europe",Automatically Green: Behavioral Economics and Environmental Protection,"Sunstein, C. R., Reisch, L. A.",Harvard Environmental Law Review,2013,"Careful attention to choice architecture promises to open up new possibilities for environmental protection� possibilities that go well beyond, and that may be more effective than, the standard tools of economic incentives, mandates, and bans. How, for example, doconsumers choose between environmentally-friendly products or services and alternatives that are potentially damaging to the environment but less expensive? The answer may well depend on the default rule. Indeed, green default rules may well be a more effective tool for altering outcomes than large economic incentives. �The underlying reasons include the power of suggestion; inertia and procrastination; and loss aversion. If well-chosen, green defaults are likely to have large effects in reducing the economic and environmental harms associated with various products and activities. �Such defaults may or may not be more expensive to consumers. �In deciding whether to establish green defaults, choice architects should consider both consumer welfare and a wide range of other costs and benefits. �Sometimes that assessment will argue strongly in favor of green defaults, particularly when both economic and environmental considerations point in their direction. �But when choice architects lack relevant information, when interest-group maneuvering is a potential problem, and when externalities are not likely to be significant, active choosing, perhaps accompanied by various influences (including provision of relevant information), will usually be preferable to a green default.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2245657,,,,,,,,,,,,,
Yes,Problem,Biases,,Consumption - Energy,,"Europe, Oceania, Asia",Barriers to energy efficiency: International case studies on successful barrier removal ,"Worrell, E.",UNITED NATIONS INDUSTRIAL DEVELOPMENT ORGANIZATION,2011,,http://www.unido.org//fileadmin/user_media/Publications/Research_and_statistics/Branch_publications/Research_and_Policy/Files/Working_Papers/2011/WP142011%20Barriers%20to%20Energy%20Efficiency%20-%20International%20Case%20Studies%20on%20Successful%20Barrier%20Removal.pdf,,,,,,,,,,,,,
Yes,Solution,Hopeful,Offer Feedback,Consumption - Energy,,Europe,Promoting behaviour change through personalized energy feedback in offices,"Coleman, M., �Irvine, K., �Lemon, M., Shao, L.",Building Research and Information,2013,"A body of research suggests that the provision of energy feedback information to building users can elicit significant energy reductions through behaviour change. However, most studies have focused on energy use in homes and the assessment of interventions and technologies, to the neglect of the non-domestic context and broader issues arising from the introduction of feedback technologies. To address this gap, a non-domestic case study explores the deliveryof personalized energy feedback to office workers through a novel system utilizing wireless technologies. The research demonstrates advantages of monitoring occupancy and quantifying energy use from specific behaviours as a basis for effective energy feedback; this is particularly important where there are highly disaggregated forms of energy use anda range of locations for that activity to take place. Quantitative and qualitative data show that personalized feedback can help individuals identify energy reduction opportunities. �However, the analysis also highlights important contextual barriers and issues that need to be addressed when utilizing feedback technologies in the workplace. If neglected, these issues may limit the effective take-up of feedback interventions.",,,,,,,,,,,,,,
Yes,Solution,"Easy, Vivid, Ordinary, Lasting",,Consumption - Energy,,"Canada and the US, Europe",Behavioral Economics: Seven principles for policy-makers,New Economics Foundation,Change Labs,2015,,http://changelabs.stanford.edu/sites/default/files/NEF_7_Principles_Behavior_Econ.pdf,Manual on behavioral insights and how policy makers can use them to tailor their campaigns,,,,,,,,,,,,
Yes,Solution,"Ordinary, Hopeful","Ordinary - Comparisson, Hopeful - offer feedback",Consumption - Energy,,(online),Would an Energy Conservation Nudge in Hotels Encourage Hotel Guests to Conserve?,"Chang, H. S., Huh, C., & Lee, M. J.",Cornell Hospitality Quarterly,2015,"Utility companies achieved an average reduction of 2.5 percent in home energy use through an energy conservation nudge that provides feedback on energy consumption as compared with neighbors. This study investigated whether hotels can replicate this effect with their guests. A 2 (valence of electricity consumption) _ 2 (comparison subject) experimental design with a control group was used with 1,000 respondents reporting their behavioral intentions in response to the energy conservation nudge in a scenario-based experiment. The results of a one-way analysis of variance (ANOVA) revealed that behavioral intentions toward electricity conservation were pronounced when the nudge was provided (regardless of the valence of electricity consumption and the comparison subject). The results of an analysis of covariance (ANCOVA) with an energy conscious level as a covariate confirmed the effectiveness of the nudge on electricity conservation. The results indicate that hotels can achieve guest-driven electricity efficiency when an Resonately designed nudge is supplied to guests. The implications of the study are also discussed. ",http://cqx.sagepub.com/cgi/doi/10.1177/1938965515588132,,,,,,,,,,,,,
Yes,Solution,Ordinary,,Consumption - Energy,,Canada and the US,Overcoming social and institutional barriers to energy conservation,"Blumstein, C., Krieg, B., Schipper, L., & York, C. ",Energy,1980,"hough economically rational responses to the energy crisis, energy conservation actions may be hindered by social and institutional barriers. The nature of these barriers is explored and a taxonomy of barriers is proposed Results of a series of interviews provide examples of the different types of barriers. Strategies for overcoming barriers are examined and some criteria for evaluating such strategies are developed. The importance of considering not only the efficiency of strategies in achieving the goal of energy conservation, but also their impacts on other-possibly competing-social and economic goals is emphasized. The need for increased efforts aimed at overcoming barriers and further research into the nature of these barriers is discussed. ",,,,,,,,,,,,,,
Yes,Solution,Hopeful,Offer Feedback,Consumption - Energy,,Europe,Measured energy savings from a more informative energy bill,"Wilhite, H., R. Ling",Energy and Buildings,1995,"In this paper, we present the results of a three-year investigation of the relationship between billing information and household energy consumption in Oslo, Norway. The hypothesis tested in the study is that a more informative energy bill will result in more efficient energy use in the home. The consumption data from the third and final year of the experiment confirm the hypothesis in a resounding way: more informative bills resulted in energy savings of about 10%. Questionnaire and interview data show that those who received experimental bills paid more attention to the bills, were more likely to discuss bills with other members of the household, and were positive to continuing with the experimental billing system. There are greater costs associated with the more frequent and informative bill which was tested, but we have estimated that costs are minimal in relation to savings. Each kWh of saved energy has a cost of only about 0.07 Nkr ($0.01). Since the techniques which were tested do not require extensive training or major technical innovations, they can be easily put into practice. These results on energy savings and consumer response to better billing feedback should be of interest to the many utilities around the world which have billing systems similar to the one in Oslo.",,,,,,,,,,,,,,
Yes,Solution,Hopeful,Offer Feedback,Consumption - Energy,,Europe,"Dynamic energy-consumption indicators for domestic appliances: environment, behaviour and design","Wood, G., & Newborough, M.",Energy and Buildings,2003,"The literature concerning the application of information-feedback methods for saving energy in the home is reviewed. Particular attention is given to electronic feedback via smart meters and displays, or �energy-consumption indicators� (ECI). Previous studies have not focused on individual appliances, but this paper presents the findings of a UK field study involving 44 households which considered domestic cooking: it compares the effectiveness of providing paper-based energy-use/saving information with electronic feedback of energy-consumption via ECIs designed specifically for this investigation. Twelve Control Group households were monitored for a period of at least 12 months and this revealed an average daily consumption for electric cooking of 1.30 kWh. Subsequently across a minimum monitoring period of 2 months, 14 out of 31 households achieved energy savings of greater than 10% and six of these achieved savings of greater than 20%. The average reduction for households employing an ECI was 15%, whereas those given antecedent information alone reduced their electricity consumption, on average, by only 3%. The associated behavioural changes and the importance of providing regular feedback during use are identified. It is recommended that further attention be given to optimising the design and assessing the use of energy-consumption indicators in the home, in order to maximise the associated energy-saving potential.",http://www.sciencedirect.com/science/article/pii/S0378778802002414,,,,,,,,,,,,,
Yes,Solution,Easy,Overcoming Behavioral Barriers,Consumption - Energy,,n/a,Some Reflection on Barriers to the Efficient Use of Energy,"Weber, L.",Energy Policy,1997,"The potential of energy conservation is considerable, yet the technically feasible and economically viable measures which could be taken are by no means fully exhausted. This phenomenon is called 'efficiency gap' or 'energy paradox' and generally described in terms of institutional, market-related, organisational and behavioural barriers. The barrier approach may help decision-makers to overcome obstacles, but it tends to limit energy conservation to positive actions and favours technical solutions. Nevertheless, barrier models give an insight to the technical and social aspects of energy consumption and how they are intertwined.�",,,,,,,,,,,,,,
Yes,Solution,Easy,Overcoming Behavioral Barriers,Consumption - Energy,,"Canada and the US, Central & South America",Energy education: breaking up the rational energy use barriers,"Dias, R., Mattos, C., Balastieri, J.",Energy Policy,2004,"Human development is associated directly or indirectly with the energy use, and because of this the energetic sources were dealt with in the recent past, as fully available to human necessities. The reality shows that the energy availability, considering the non-renewable sources, is limited, and beyond that, the exploration, the processing and the use of energy impose considerable impacts onthe environment. There is not a system which operates with no losses and without imposing changes to the environment. Therefore, the energy conservation incorporates the concepts and the actions applied to the research of sustainable balance between nature and the energy availability and use. Such actions can be presented both in the short term, in which the energy system is close to a collapse, or in the medium/long term, in which those responsible for the energy policies are concerned with the structure of the socio-economic development. Such a situation requires more responsibility in the treatment of energy questions, mainly through education, which represents long-term investments. This paper discusses barriers that are present in the projects applied to energy conservation, by making clear that education is one of the best ways to transform the human behavior in for the rational use of energy.",,,,,,,,,,,,,,
Yes,Solution,Easy,Overcoming Behavioral Barriers,Consumption - Energy,,Europe,Barriers to and drivers for energy efficiency in the Swedish foundry industry,"Rohdin, P., Thollander, P., Solding, P.",Energy Policy,2007,"Despite the need for increased industrial energy efficiency, studies indicate that cost-efficient energy conservation measures are not always implemented, explained by the existence of barriers to energy efficiency. This paper investigates the existence of different barriers to and driving forces for the implementation of energy efficiency measures in the energy intensive Swedish foundry industry. The overall results from a questionnaire show that limited access to capital constitutes by far the largest barrier to energy efficiency according to the respondents. A comparison between group-owned and privately owned foundries shows that, except for limited access to capital, they face different high-ranked barriers. While barriers within group owned companies are more related to organizational problems, barriers within private foundries are more related to information problems. This study also found that energy consultants or other actors working with energy issues in foundries are of major importance in overcoming the largest barriers, as the foundries consider them trustworthy.They may thus help the foundries overcome organizational problems such as lack of sub-metering and lack of budget funds by quantifying potential energy efficiency investments. The two, by far, most important drivers were found to be people with real ambition and long-term energy strategies.",,,,,,,,,,,,,,
Yes,Solution,Easy,Overcoming Behavioral Barriers,Consumption - Energy,,Asia,The barriers to energy efficiency in China: Assessing household electricity savings and consumer behavior in Liaoning Province,"Dianshu, F., Sovacool, B., Vu, K. M.",Energy Policy,2010,"This article investigates the barriers to energy efficiency at the residential sector within one province in China and explores patterns of household electricity consumption. The article presents the results of a survey questionnaire distributed to more than 600 households in Liaoning Province, field research at various Liaoning government agencies, and research interviews of Liaoning government officials to determine the efficacy of their energy efficiency efforts in China. It then investigates the extent that electricity consumers have taken advantage of energy efficiency opportunities relating to more efficient lights, water heaters, appliances, air-conditioners and heaters, and better energy-efficiency labels. The article also assesses the degree that electricity users have become more aware about electricity prices and their levels of consumption, and touches on the connection between rising levels of income and electricity use. It concludes by providing recommendations for how to improve efforts to promote conservation and reduce electricity load growth in Liaoning Province and beyond.",,,,,,,,,,,,,,
Yes,Solution,Associations,,Consumption - Energy,,Europe,Low-carbon communities as a context for individual behavioural change ,"Heiskanen, E., Johnson, M., Robinson, S., Vadovics, E., & Saastamoinen, M.",Energy Policy,2010,"Previous attempts to change energy-related behaviour were targeted at individuals as consumers of energy. Recent literature has suggested that more focus should be placed on the community level and that energy users should be engaged in the role of citizens, and not only that of consumers. This article analyses different types of emerging low-carbon communities as a context for individual behavioural change. The focus is on how these communities offer solutions to problems in previous attempts to change individual behaviour. These problems include social dilemmas, social conventions, socio- technical infrastructures and the helplessness of individuals. Different community types are examined, including geographical communities as well as sector-based, interest-based and smart mob communities. Through four case studies representing each of these community types, we examine how different communities reframe problems on the individual level to reduce carbon emissions. On the basis of an analysis of the strengths and weaknesses of various community solutions, implications are drawn for further research and for the design and support of low-carbon communities.",,,,,,,,,,,,,,
Yes,Solution,Vivid,,Consumption - Energy,,Europe,Measuring the effect of procrastination and environmental awareness on households' energy-saving behaviours: An empirical approach ,"Lillemo, S. C.",Energy Policy,2014,"A common finding in behavioural economics is that people often procrastinate, i.e., keep postponing planned tasks or decisions that require effort to execute. The effect of procrastination on inter-temporal energy choice behaviours could be even more serious because energy is an abstract, invisible and intangible commodity. This paper uses a web survey to investigate how people's procrastination propensity and environmental awareness affect their heating-energy-saving behaviours. The results indicate that people who state that they have a higher tendency to procrastinate are significantly less likely to have engaged in most of the heating energy-saving activities, especially regarding larger purchases or investments in equipment and the insulation of doors and windows. I also found a positive relationship between environmental awareness and engaging in everyday energy-saving activities such as reducing the indoor temperature. The findings suggest that measures aimed at reducing procrastina- tion are needed to realise energy-saving potential. It is important to find ways to either bring future benefits closer to the present or to magnify the costs of delayed action. For example, one can employ certain feedback systems and commitment devices to make current gains and future costs more visible or tangible. ",,,,,,,,,,,,,,
Yes,Solution,Associations,,Consumption - Energy,,Europe,Feeling the green? Value orientation as a moderator of emotional response to green electricity,"Nilsson, A., Hansla, A., & Biel, A.",Journal of Applied Social Psychology,2014,"Framing effects on emotional responses in a green electricity choice are investigated in a survey of a random sample of 655 Swedish residents. The results show that overall more positive and less negative emotions are experienced for a promotion frame (�choosing green electricity and paying more�) than for a prevention frame (�not choosing green electricity and paying less�). Value orientation is shown to moderate the framing effect in that for the promotion frame, individuals with a selftranscendence value orientation show the most positive and least negative emotion, whereas for the prevention frame, individuals with a self-enhancement value orientation show the most positive and least negative emotion. Emotional responses are further shown to mediate the relationship between value orientation and intention to purchase eco-labeled electricity.",http://onlinelibrary.wiley.com/store/10.1111/jasp.12258/asset/jasp12258.pdf;jsessionid=9297C6A87A7630F810662330B1C22FD2.f01t04?v=1&t=iqe5ujjc&s=867bcab5a6994946c19bd8c6cab9d8d88e393944,,,,,,,,,,,,,
Yes,Solution,Identity,Make it a goal,Consumption - Energy,,Canada and the US,Goal setting and energy efficiency,"Harding, M., & Hsiaw, A.",Journal of Economic Behavior and Organization,2014,"This paper develops a theoretical model of consumer demand for an energy conservation program that involves non-binding, self-set goals. We present evidence from a Northern Illinois goal-setting program, aimed at reducing residential electricity consumption, which is difficult to reconcile with standard preferences and is broadly consistent with a model of present-biased consumers with reference-dependent preferences. We find that the need for commitment is correlated with program adoption, higher pre-adoption consumption, and lower responsiveness to goals. Consumers choosing realistic goals persistently save substantially more, achieving savings of nearly 11%, than those choosing very low or unrealistically high goals.",http://www.sciencedirect.com/science/article/pii/S0167268114001176,Effect of setting goals on energy conservation,,,,,,,,,,,,
Yes,Solution,Ordinary,,Consumption - Energy,,Canada and the US,Social norms and energy conservation ,"Allcott, H. ",Journal of Public Economics,2011,"This paper evaluates a series of programs run by a company called OPOWER to send Home Energy Report letters to residential utility customers comparing their electricity use to that of their neighbors. Using data from randomized natural field experiments at 600,000 treatment and control households across the United States, I estimate that the average program reduces energy consumption by 2.0%. The program provides additional evidence that non-price interventions can substantially and cost effectively change consumer behavior: the effect is equivalent to that of a short-run electricity price increase of 11 to 20%, and the cost effectiveness compares favorably to that of traditional energy conservation programs. Perhaps because the treatment included descriptive social norms, effects are heterogeneous: households in the highest decile of pre-treatment consumption decrease usage by 6.3%, while consumption by the lowest decile decreases by only 0.3%. A regression discontinuity design shows that different categories of �injunctive norms� played an insignificant role in encouraging relatively low users not to increase usage.",,,,,,,,,,,,,,
Yes,Solution,Easy,Overcoming Behavioral Barriers,Consumption - Energy,,n/a,Changing Environmental Practice: Understanding and Overcoming the Organizational and Psychological Barriers,"Hoffman, A. J., Ross, S. M., Bazerman, M. H.",Journal of Social Issues,2005,"Since the early 1990s, the environmental management literature has grown from a small offshoot of mainstream academic study to become a vibrant field of its own. �The contributions of this field lie in the study of corporations and their impact upon the natural world. We are impressed by the large quantity of good ideas that have developed concerning how to improve the environment in ways that are good for business. �Yet we also have observed that many executives and organizations have been slow to adopt wise environmental practices. �We offer insight from both behavioral decision research and organizational theory to explain the barriers to change, and suggest means of surmounting those barriers. �After providing an overview of both the applied and academic areas of environmental management, we identify specific barriers to its implementation and offer direction for diffusing wise environmental management practices at a faster rate.",,,,,,,,,,,,,,
Yes,Solution,"Benefits, Associations",,Consumption - Energy,,Canada and the US, Nonprice incentives and energy conservation,"Asensioa, O. I., & Delmas, M. A. ",Proceedings of the National Academy of Sciences,2015,"In the electricity sector, energy conservation through technological and behavioral change is estimated to have a savings potential of 123 million metric tons of carbon per year, which represents 20% of US household direct emissions in the United States. In this article, we investigate the effectiveness of nonprice information strategies to motivate conservation behavior. We introduce environment and health-based messaging as a behavioral strategy to reduce energy use in the home and promote energy conserva- tion. In a randomized controlled trial with real-time appliance- level energy metering, we find that environment and health-based information strategies, which communicate the environmental and public health externalities of electricity production, such as pounds of pollutants, childhood asthma, and cancer, outperform monetary savings information to drive behavioral change in the home. Environment and health-based information treatments motivated 8% energy savings versus control and were particularly effective on families with children, who achieved up to 19% energy savings. Our results are based on a panel of 3.4 million hourly appliance-level kilowatt�hour observations for 118 residen- ces over 8 mo. We discuss the relative impacts of both cost-savings information and environmental health messaging strategies with residential consumers.",,,,,,,,,,,,,,
Yes,Solution,Easy,,Consumption - Energy,,Canada and the US,Durable goods and residential demand for energy and water: evidence from a field trial,Lucas W. Davis,RAND Journal of Economics,2008,"This article describes a household production model in which energy-efficient durable goods cost less to operate so households may use them more. The model is estimated using household level data from afield trial in which participants received high-efficiency clothes washers free of charge. The estimation strategy exploits this quasi-random replacement of washers to derive precise estimates of the household production technology and a demand function for clothes washing. During the field trial, households increased clothes washing on average by 5.6% after receiving a high-efficiency washer, implying a price elasticity of ?.06. The complete model is used to evaluate the cost-effectiveness of recent changes in minimum efficiency standards for clothes washers.",http://faculty.haas.berkeley.edu/ldavis/Davis%20RAND%202008.pdf,,,,,,,,,,,,,
Yes,Solution,Ordinary,Provide positive social proof,Consumption - Energy,,Canada and the US,Normative Social Influence is Underdetected,"Nolan, J. M., Schultz, P. W., Cialdini, R. B., Golstein, N. J., & Griskevicius, V.",Personality and Social Psychology Bulletin,2008,"The present research investigated the persuasive impact and detectability of normative social influence. The first study surveyed 810 Californians about energy conservation and found that descriptive normative beliefs were more predictive of behavior than were other relevant beliefs, even though respondents rated such norms as least important in their conservation decisions. Study 2, a field experiment, showed that normative social influence produced the greatest change in behavior compared to information highlighting other reasons to conserve, even though respondents rated the normative information as least motivating. Results show that normative messages can be a powerful lever of persuasion but that their influence is underdetected.",http://psp.sagepub.com/cgi/doi/10.1177/0146167208316691,,,,,,,,,,,,,
Yes,Solution,Ordinary,"Ordinary - Comparison: Avoid regression to the mean, Ordinary - Strengthen the norm through social networks",Consumption - Energy,,Canada and the US,Social norms & social networks,Climate Outreach & Information Network (COIN),Talking Climate,,,http://talkingclimate.org/guides/using-social-norms-social-networks-to-promote-sustainable-behaviour/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Easy, Ordinary",Ordinary - Comparison: Avoid regression to the mean,Consumption - Energy,,Europe,Behaviour Change and Energy Use,The Behavioural Insights Team,The Behavioural Insights Team,2011,"Behaviour Change and Energy Use draws on evidence from behavioural economics and psychology to outline a new approach to enabling people, at home and at work, to reduce their energy consumption and reduce their bills in the process. Amongst other things, this paper showed how these insights were being used by the UK Government to help departments successfully meet the Prime Minister�s pledge to reduce energy emissions by over 10% in just one year.",http://38r8om2xjhhl25mw24492dir.wpengine.netdna-cdn.com/wp-content/uploads/2015/07/behaviour-change-and-energy-use.pdf,,,,,,,,,,,,,
Yes,Solution,Vivid,,Consumption - Energy,,Canada and the US,Sixty-Five: Communication and the Adoption of Energy Conservation Measures by the Elderly ,"Griffin, R. J. ",The Journal of Environmental Education,1989,"To determine the relationship of various forms of communication to adoption of energy conservation behavior among homeowners, and to compare the energy conserving behavior of those under 65 with those over 65, a three-year panel study was conducted in a Midwest suburban community. Heads of households who owned single family dwellings were contacted by telephone concerning the steps they had taken to conserve energy in their homes, such as adding attic insulation or turning down the thermostat. Respondents also answered questions about what forms of communication they relied on, whether they had seen any energy conservation commercials recently or had requested a utility audit, and those who were wiling also released their public service heating records. Results showed that those over 65 were less willing to take steps to conserve energy, kept their thermostats set higher than younger respondents, and had fewer plans to conserve energy in the future, though the two groups had equivalent knowledge of energy problems and conservation measures. Reading newspaper stories and viewing television programs about energy conservation were strongly related to the perceived importance of the energy problem, although the more general the information, the less it was correlated to behavior. Those over 65 were more likely to try to conserve energy if a utility auditor visited their home, or if they received bill-insert pamphlets. ",,,,,,,,,,,,,,
Yes,Solution,Ordinary,,Consumption - Energy,,Canada and US,�Lights out� in university classrooms: Brief group discussion can change behavior,"Werner, C. M., Cook, S., Colby,  J., & Lim, H. J.",Journal of Environmental Psychology,2012,"Lights left on in empty classrooms can waste considerable electricity and contribute to greenhouse gas emissions. Interviews prior to the study suggested students did not turn off lights because they did not think of it and were not sure they were allowed to. We visited classes and led brief group discussions to combat these reasons and create a descriptive norm favoring turning off lights. We evaluated the intervention with a 2(Presentation: No/Yes) by 2(Reminder sign: No/Yes) factorial design over 3 periods, Baseline, Intervention, and Follow-up. ANCOVA controlling for Baseline indicated that the presentation groups were more likely to turn off classroom lights during both the intervention and follow-up. Signs had no significant impact either alone or in combination with the presentation. The project extends guided group discussion to a new setting and behavior, and supports the view that embedding behavior change in group discussion is potentially a very powerful technique. Future research might improve the signs and apply the approach to other settings, adapting the program to each situation. ",http://www.sciencedirect.com/science/article/pii/S027249441200045X,,,,,,,,,,,,,
