Website?,Behavioral Problem,BUILDING BLOCK,Substep,Environmental Tag,Environmental Sub-Tag,World Region,Title,Author,News Source,Date,Summary,URL,Notes,,,,,,,,,,,,
Yes,Solution,"Easy, Benefits",,Non-environmental,,Europe,Do Supermarkets Really Nudge us to East Unhealthily ,"Kristain Roed Nielsen, Pelle Guldborg Hansen and Laurits Rohden Skov",iNudgeyou,8-Jan-16,Supermarkets should take up the moral responsibility of promoting healthy consumption ,http://inudgeyou.com/archives/6638,,,,,,,,,,,,,
Yes,Solution,Associations,,Oceans - General,,Europe,"Blog: Ocean acidification, still time to avoid polarisation that exists with climate change ",Adam Corner,Climate Outreach & Information Network,10-May-16,Associations ocean acidification talks ,http://climateoutreach.org/ocean-acidification/,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Relatable",,Oceans - General,,Canada and the US,Building Support for Coastal Resilience: Top 5 tips,Nicole Lampe,Resource Media,3-Sep-15,"As sea levels rise, it becomes increasingly important for coastal communities to recognize the problem and take action. This article gives tips on how to motivate communities to take urgent action in protecting their homes by appealing to their personal beliefs",http://www.resource-media.org/building-support-for-coastal-resilience-top-5-tips/#.V09f__krLIU,One tip is to help the audience visualize the future risks (this is Associations the problem a certain way) and nother is to bring the problem down to local terms and highlighting the dangers to their homes and health (making it personal),,,,,,,,,,,,
Yes,Solution,Hopeful,,Oceans - General,,"Canada and the US, Europe","Hey, Environmentalists, Lets tell a postitive story. We're filling people with dread. ",Rachel Dearborn,Medium ,9-Jun-14,How to tell a story about climate change that leads to action ,https://medium.com/@rdearborn/hey-environmentalists-lets-stop-being-so-depressing-c0d28bd7cad5#.j1b48l9g8,,,,,,,,,,,,,
Yes,Solution,"Relatable, Vivid",,Oceans - General,,Canada and the US,Here. Now. Us. actualizes climate change for Marin County,Quinn Sanderson,Resource Media,30-Jul-15,Campaign provides 3D visualizations to Marin country residents of what their streets would look due to the increased dangers of flooding,http://www.resource-media.org/here-now-us-actualizes-climate-change-for-marin-county/#.V09gBvkrLIU,Something I thought was interesting that the article pointed out was that it is hard for people to take action about climate change because the dangers seem so far distant into the future,,,,,,,,,,,,
Yes,Solution,Benefits,,Waste Management - Garbage,,"Asia, Canada and the US","Trending: Schemes in NYC, South Korea Helping Business, Residents Eliminate Waste",Hannah Furlong,Sustainable Brands,10-May-16,different waste reduction methods in NYC and South Korea,http://www.sustainablebrands.com/news_and_views/waste_not/hannah_furlong/trending_schemes_nyc_south_korea_helping_business_residents_?utm_source=Facebook&utm_medium=posts&utm_campaign=social,,,,,,,,,,,,,
Yes ,Solution,Easy,,Food - Waste,,Canada and the US,The 'Sell By' Dates On Our Groceries Are Causing Tons of Food Waste,Natasha Geiling,Think Progress,18-May-16,Two members of Congress are trying to get new legislation passed where expiration/sell by dates are more clear so consumers know more precisely when to throw out their food. Laws making it easy for consumers to know what labels mean,http://thinkprogress.org/climate/2016/05/18/3779570/expiration-date-labeling-bill-food-waste/,,,,,,,,,,,,,
,,General,,Consumption - Freshwater,,,How one California restaurant is dealing with the drought,Bob Krummert,restaurant hospitality,29-Apr-15,restraurant using compressed air rather than water to clean plates before they enter the dishwasher ,http://restaurant-hospitality.com/sustainability/how-one-california-restaurant-dealing-drought,,,,,,,,,,,,,
,,"Associations, Vivid",,Climate - Communication,,,Associations uncertainty assertively,Sutton Eaves ,Climate Access,13-Jul-15,Turning climate change uncertainty into understanding and concern,http://www.climateaccess.org/blog/Associations-uncertainty-assertively,,,,,,,,,,,,,
Future,N/A,General ,,Climate - Belief,,N/A,scientists: Earth Endangered by New Strain of Fact-Resistant Humans,Andy Borowitz,The New Yorker,12-May-15,parody of climate change deniers ,http://www.newyorker.com/humor/borowitz-report/scientists-earth-endangered-by-new-strain-of-fact-resistant-humans,satire,,,,,,,,,,,,
Future,N/A,Relatable ,,Climate - Belief,,Canada and the US,"Climate Change Beliefs, Parsed on a Local Level, Paint a Valuable Portrait",John H. Cushman Jr.,Inside Climate News,6-Apr-15,"A new tool created by Yale University allows anyone to investigate  American's attitudes towards climate change down the county level. This information, which makes statistical predictions based on a wide variety of societal and demographic variables, could be incredibly valuable to those hoping to shape environmental policy; A new�statistical model�created at Yale University allows anyone to examine attitudes towards climate change all over the country down to the local level. This tool is expected to be useful for social�scientists, planners, and policy-makers who need this kind of information to make policy�decisions�and decide how they will rally support for environmental programs; communication",http://insideclimatenews.org/carbon-copy/06042015/climate-change-beliefs-parsed-local-level-paint-valuable-portrait,,,,,,,,,,,,,
Future,Solution,Associations,,Climate - General,,Canada and the US,Green Failure: What's Wrong with Environmental Education?,Michelle Nijhuis,Yale Environment 360,26-May-11,"environmental education should incorporate values, stewardship ",http://e360.yale.edu/feature/green_failure_whats_wrong_with_environmental_education/2407/,,,,,,,,,,,,,
Future,N/A,N/A,,Climate - General,,Canada and the US,What's really warming the world?,Eric Roston and Blacki Migliozzi,Bloomberg Business,24-Jun-15,,http://www.bloomberg.com/graphics/2015-whats-warming-the-world/,,,,,,,,,,,,,
Future,N/A,General ,,Climate - General,,N/A,The awful truth about climate change no one wants to admit,�David Roberts,vox,15-May-15,,http://www.vox.com/2015/5/15/8612113/truth-climate-change,,,,,,,,,,,,,
Future,Solution,General,,Climate - General Action,,Canada and the US,Social Cohesion: The Secret Weapon in the Fight for Equitable Climate Resilience,Danielle Baussan,Center for American Progress,11-May-15,environmental inequality ,https://www.americanprogress.org/issues/green/report/2015/05/11/112873/social-cohesion-the-secret-weapon-in-the-fight-for-equitable-climate-resilience/,,,,,,,,,,,,,
Future,Solution,"Associations, Benefits",,Consumption - General,,N/A,Green Initiatives Improve a Brand�s Perceived Value,Lewis Robinson,Triple Pundit,25-May-15,overview of how businesses can successfully incorporate green incentives ,http://www.triplepundit.com/2015/05/green-initiatives-improve-brands-perceived-value/,,,,,,,,,,,,,
Future,Solution,Identity,,Food - Animal product consumption,food choice=vegetarian,Canada and the US,Sir Paul McCartney raps for Meat Free Monday campaign,Haroon Siddique,The Guardian,21-Sep-14,,http://www.theguardian.com/environment/2014/sep/21/sir-paul-mccartney-raps-meat-free-monday?CMP=twt_gu,,,,,,,,,,,,,
Future,Solution,"Associations, Vivid",,Consumption - Energy,,Canada and the US,1 kWh website,N/A,Opower,N/A,Website translating electricity consumption effectively; standing out,https://ux.opower.com/1kwh/,,,,,,,,,,,,,
Future,Problem,Associations,,Climate - Communication,,Europe,Research reveals current climate engagement strategies are failing to reach young people,Adam Corner,Climate Outreach,30-Oct-14,Communication; Communicating environmental issues,http://www.climateoutreach.org.uk/research-reveals-current-climate-engagement-strategies-are-failing-to-reach-young-people/,links to related podcast and full report,,,,,,,,,,,,
Future,Solution,Relatable,,Climate - General,,Europe,For the Love of�,Climate Coalition,For the Love of�,N/A,,http://fortheloveof.org.uk/stories/,,,,,,,,,,,,,
Future,Solution,Relatable ,,Food - General,,Canada and the US,inspired to ignite World Vision's 30 hour famine movement,CTV Calgary Staff ,CTV News,1-Apr-15,,http://calgary.ctvnews.ca/inspired-to-ignite-world-vision-s-30-hour-famine-movement-1.2307984,,,,,,,,,,,,,
Future,Solution,Relatable ,,Food - General,,Canada and the US,"Students, adults learn about, experience famine",Tom Stockwell,St. Helena Star,3-Mar-15,,http://napavalleyregister.com/star/news/local/students-adults-learn-about-experience-famine/article_d227d8b6-b635-5397-8048-226aaf53d641.html,,,,,,,,,,,,,
Future,Solution,Relatable ,,Food - General,,Canada and the US,"Time Spent Hungry, Time Well Spent",Rosalind S. Helderman,The Washington Post,25-Feb-07,,http://www.washingtonpost.com/wp-dyn/content/article/2007/02/24/AR2007022401366.html,,,,,,,,,,,,,
Maybe,N/A,Associations,,Climate - Communication,,Europe,"When I say �climate change�, you�say�?",Adam,Talking Climate,29-Jun-15,communication; Associations,http://talkingclimate.org/i-say-climate-change/,,,,,,,,,,,,,
Maybe,N/A,General,,Climate - Communication,,Canada and the US,Climate Change's Overlooked Sociological Side,Jan Ellen Spiegel,Inside Climate News,25-Aug-15,"Overview of how sociological concepts are integral to climate change discussions (for example, status consumption)",http://insideclimatenews.org/news/25082015/climate-changes-overlooked-sociological-side,,,,,,,,,,,,,
Maybe,Problem,"Associations, General",,Climate - Communication,,Canada and the US,The brutally dishonest attacks on Showtime�s landmark climate series,Joseph Romm,Grist,10-Apr-14,inspiring movements; pseudoscience; climate science,http://grist.org/climate-energy/the-brutally-dishonest-attacks-on-showtimes-landmark-climate-series/,"Article about error ridden op-ed by Breakthrough Institute in NYT attacks new climate series Years of Living Dangerously, despite rave reviews by others",,,,,,,,,,,,
Maybe,Problem,"Awareness, General",,Climate - Communication,,Canada and the US,Does shame have a place in the climate fight? Jennifer Jacquet thinks so,Amelia Urry,grist,26-Jun-15,Why it is easy for individuals to feel guilt about their consumption rather than shame toward corporations contributing to environmental degradation ,http://grist.org/people/does-shame-have-a-place-in-the-climate-fight-jennifer-jacquet-thinks-so/?utm_source=twitter&utm_medium=tweet&utm_campaign=socialflow,,,,,,,,,,,,,
Maybe,Solution,Relatable,,Climate - Communication,,Canada and the US,Red-State Cities Find Euphemisms To Prepare for Global Warming,John Flesher,Talking Points Memo,9-Sep-14,"At times Climate Change is like Voldemort - the Issue That Cannot Be Named. So in many places, especially strongholds of conservative politics, they're planning for the volatile weather linked to rising temperatures by speaking of ""sustainability"" or ""resilience.""",http://talkingpointsmemo.com/news/red-state-cities-find-euphemisms-prepare-global-warming��,link no longer works,,,,,,,,,,,,
Maybe,Solution,Awareness,,Climate - General,,Canada and the US,3  Insights Into Writing about Social Issues,Lisa Bennett,WordPress,16-Mar-15,"Communication; 3 insights into how to write about social issues, in this case environmental ones.",http://lisabennett.org/2015/03/16/3-insights-into-writing-about-social-issues/,,,,,,,,,,,,,
Maybe,Solution,General,,Climate - General,,Canada and the US,Advancing the Role of Psychology in Environmental Sustainability,Melissa Andreychek,National Socio-Environmental Synthesis Center,25-Jun-15,communication,http://www.sesync.org/blog/psychology-environmental-sustainability,,,,,,,,,,,,,
Maybe,Problem,"General, Hopeful",Hopeful - Feedback,Climate - General Action,,"Africa, Central and South America, Asia, Canada and the US, Europe, Oceania",Greendex 2014: Increased Fears About Environment Not Reflected in Consumer Behavior,Sustainable Brands,Sustainable Brands,26-Sep-14,Overview of Greendex results ,http://www.sustainablebrands.com/news_and_views/new_metrics/sustainable_brands/new_metrics_%E2%80%9914_increased_fears_about_environment_not_?utm_source=Twitter&utm_medium=schtweets&utm_campaign=editorial,,,,,,,,,,,,,
Maybe,Problem,Hopeful,Hopeful - Feedback,Climate - General Action,,"Africa, Central and South America, Asia, Canada and the US, Europe, Oceania",Fears About Environment Rising � Sustainable Behavior Falling,N/A,GLOBE-Net,23-Oct-14,America is last in sustainable behavior; cognitive dissonance,http://globe-net.com/fears-environment-rising-sustainable-behavior-falling/,,,,,,,,,,,,,
Maybe,Solution,Vivid ,,Climate - General Action,,Canada and the US,Why Groups Need to be Ready for Climate Crisis Events Like the Deepwater Spill,Sutton Eaves,ClimateAccess,24-Apr-15,Communication,http://www.climateaccess.org/blog/why-groups-need-be-ready-climate-crisis-events-deepwater-spill,,,,,,,,,,,,,
Maybe,Solution,General,,"Consumption - Energy, Waste Management - Littering",,"Canada and the US, Europe","""Nudge"" Back in Fashion at White House",Courtney Subramanian,Time Magazine,9-Aug-13,public policy design; team of social scientists chosen by President Obama to study human behavior and design public policy based on social experiments; general decision science,http://swampland.time.com/2013/08/09/nudge-back-in-fashion-at-white-house/,Government decision science teams spreading internationally,,,,,,,,,,,,
Maybe,Solution,"Associations, Benefits",,"Environmental Policy, Land Use - Agriculture",,Canada and the US,"Climate Policy, Not Change, Worries Farmers Most",Kat Kerlin,Futurity,11-Sep-13,Perception of climate change depends on policy success,http://www.futurity.org/climate-policy-change-worries-farmers/?utm_source=Futurity+Today&utm_campaign=b8bc7a0aa6-September_11_20139_11_2013&utm_medium=email&utm_term=0_e34e8ee443-b8bc7a0aa6-206307317,,,,,,,,,,,,,
Maybe,Problem,General,,Natural Disasters,,Canada and the US,Comment: Our Flawed perceptions of risk,Katherine Fox-Glasssman,Earth Magazine,23-Mar-15,Decision Science; Risk perception,http://www.earthmagazine.org/article/comment-our-flawed-perceptions-risk,,,,,,,,,,,,,
Maybe,,Easy,,,,,"In Tests, Scientists Try to Change Behavior",Shirley S. Wang,The Wall Street Journal,28-Jul-14,,http://www.wsj.com/articles/in-tests-scientists-try-to-change-behaviors-1406588998,Can't access the article without WSJ subscription ,,,,,,,,,,,,
Maybe,Solution,"Associations, Hopeful",,Oceans - General,,Canada and the US,Beyond the Obituaries: The Shining Stars of Conservation Work,Michelle Marraffini,Moss Landing Marine Labs,17-Jun-13,,https://mlmlblog.wordpress.com/2013/06/17/beyond-the-obituaries-the-shinning-stars-of-conservation-work/,,,,,,,,,,,,,
Maybe,Problem,Identity,,Climate - Belief,,Canada and the US,Cognitive Dissonance and Social Change: What Can We Learn?,Weh Yeoh,WhyDev,18-Dec-10,"Article explaining cognitive dissonance experiment on animal testing, food choices and the merits of Apple products and its implications for climate change; consistency",http://www.whydev.org/cognitive-dissonance-and-social-change-what-can-we-learn/,,,,,,,,,,,,,
Maybe,Solution,Identity,,Consumption - Energy,,Canada and the US,A Commitment Device for Energy Conservation,Freakonomics,Freakonomics,14-Nov-08,Interesting idea on commitment contracts,http://freakonomics.com/2008/11/14/a-commitment-device-for-energy-conservation/,,,,,,,,,,,,,
Maybe,Solution,Easy,,Transportation - Biking,,,Boulder 'Right-Sizing' Bike-Lane Project Moves Forward On 3 Of 4 Streets,Erica Meltzer,Boulder News,15-Jun-15,Overcoming Barriers,http://www.dailycamera.com/news/boulder/ci_28320818/right-sizing-debate-hits-boulder-council,,,,,,,,,,,,,
Maybe,,Easy,,"Recycling, Waste reduction",,,It is Easy Being Green,,The Green Bin Pilor Program Newsletter,29-Jun-05,"Convenience, overcoming barriers",http://www.regionofwaterloo.ca/en/aboutTheEnvironment/resources/NewsletterJune07.pdf,,,,,,,,,,,,,
Maybe,N/A,Relatable ,,Climate - Belief,,Canada and the US,"Culture splits climate views, not science smarts",Dan Vernago,USA Today,27-May-12,,http://content.usatoday.com/communities/sciencefair/post/2012/05/study-personality-split-climate-views-not-science-literacy/1#.VZBXRFJMUZx,,,,,,,,,,,,,
Yes,Solution,"Easy, Lasting",,Non-environmental,,"Asia, Canada and the US",What Heroin Addiction Tells Us About Changing Bad Habits,Alix Spiegel,NPR,5-Jan-15,The story of U.S. soldiers getting addicted to heroine in Veitnam but not relapsing once they get back to the U.S. Demonstrates the importance of an environment and its role in pro viding mental cues to cause us to behave in a certain way.; changing the situation; Habits,http://www.npr.org/blogs/health/2015/01/05/371894919/what-heroin-addiction-tells-us-about-changing-bad-habits?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20150105,,,,,,,,,,,,,
Yes,Solution,"Awareness, Easy",,Climate - General Action,,Canada and the US,How to turn consumers green: The socially consious consumer,Dan Ariely and Aline Gr�neisen,McKinsey & Company,N/A,"cognitive bias; values, consumer choice; intention-behavior gap",http://voices.mckinseyonsociety.com/how-to-turn-consumers-green/,feedback,,,,,,,,,,,,
Yes,Solution,"Associations, Easy",,Climate - Communication,,Canada and the US,Handle with humor: why we want you to laugh about climate change,Travis Irvine,The Guardian,19-Jun-15,overcoming barriers,http://www.theguardian.com/environment/2015/jun/19/peoples-climate-march-al-gore-leonardo-dicaprio-climate-change,,,,,,,,,,,,,
Yes,Solution,"Associations, Awareness, Easy",,Climate - Communication,,Canada and the US,Communicating Climate Change in a National Park,Brian Ettling,Yale Climate Connections,26-Apr-12,Overcoming barriers,http://www.yaleclimateconnections.org/2012/04/communicating-climate-change-in-a-national-park/,,,,,,,,,,,,,
Yes,Solution,"Associations, Awareness, Easy",,Climate - Communication,,Canada and the US,Using humor effectively to communicate climate change,Brian Ettling,Climate Access,14-Feb-14,Communication; Communicating the effects of climate change effectively using humor.,http://www.climateaccess.org/blog/using-humor-effectively-communicate-climate-change,,,,,,,,,,,,,
Yes,Solution,"Easy, Vivid",,Waste Management - Recycling,,Europe,Edinburgh 'Nudging' Success in Recycling,Iain Gulland,Zero Waste Scotland,9-Jan-15,"A recent study from UCLA demonstrates that messages about environmental and personal health can be more effective at encouraging residents to save electricity than messages about saving money. This may be because electricity is relatively inexpensive, so reducing electricity consumption is not an effective way to save large sums of money for most people; A recent�study�from UCLA demonstrates that messages about environmental and personal health--such as how the production of electricity harms the environment and increases risks of childhood asthma and cancer--can be more effective at encouraging residents to save electricity than messages about saving money. Interestingly, this result occurs in spite of the fact that participants in the study ranked saving money as a higher priority than protecting health. The authors hypothesize that this occurs because electricity is relatively inexpensive, so reducing electricity consumption is not an effective way to save large sums of money.�; Decision Science; smaller waste bins lead in higher recycling rates",http://www.zerowastescotland.org.uk/content/edinburgh-%E2%80%98nudging%E2%80%99-success-recycling,,,,,,,,,,,,,
Yes,Solution,"Easy, Vivid",,Waste Management - Recycling,,Europe,Edinburgh recycling rates soar 85 per cent,N/A,Edinburgh Evening News,5-Jan-15,Waste Management; Convenience,http://www.edinburghnews.scotsman.com/news/edinburgh-recycling-rates-soar-85-per-cent-1-3650917,,,,,,,,,,,,,
Yes,Solution,"Easy, Hopeful","Easy - Default, Hopeful - Feedback",Climate - General Action,,Canada and the US,Can Smiley Faces (and a 14-Step Program to Stop Overconsumption) Save the Global Climate?,David Biello,Scientific American,16-Mar-10,summary of unconventional methods and the use of some of our interventions to reduce GHG emissions; behavior science interventions (Associations),http://www.scientificamerican.com/article/overconsumption-consumer-green/,great summary of variety of interventions being used to change behavior and reduce GHG emissions,,,,,,,,,,,,
Yes,Solution,"Hopeful, Ordinary","Hopeful - Feedback, Ordinary - Provide Positive Social Proof",Consumption - Energy,,Canada and the US,Opower keeps improving its message to get people to use less energy,Mohana Ravindranath,The Washington Post,17-Nov-13,,http://www.washingtonpost.com/business/on-it/opower-keeps-improving-its-message-to-get-people-to-use-less-energy/2013/11/17/6c726aca-4bc5-11e3-ac54-aa84301ced81_story.html,,,,,,,,,,,,,
Yes,Solution,"Easy, Hopeful",Hopeful - Feedback,Consumption - Energy,,Canada and the US,People Power Pilot Yields Up to 10 Percent Energy Savings By Changing Behavior,Lisa Cohn,Energy Efficiency Markets.com,28-Feb-15,"In a pilot program from People Power, a new mobile app, �Presence,� being tested in Hawaii, is yielding surprising energy savings�9 percent to 10 percent �by motivating people to change their energy use behavior. This was also then compared and contrasted with Opower's study; Use of People Power's mobile app ""Presence"" has yielded energy savings of 9-10% in a pilot program. The app first attracts new users with other features, such as an ability to use their old smart phones as motion detectors and security cameras, and presents energy efficiency as a type of game or challenge. When combined with wi-fi smart plugs, the app allows users to remotely control their electric appliances.",http://energyefficiencymarkets.com/people-power-pilot-yields-10-energy-savings-changing-behavior/,"compares this pilot with opower's program, and talks about each's strengths and weaknesses",,,,,,,,,,,,
Yes,Problem,Associations,,Climate - Belief,,Canada and the US,"Americans Believe in Science, Just Not its Findings",Julie Beck,The Atlantic,29-Jan-15,,http://www.theatlantic.com/health/archive/2015/01/americans-believe-in-science-just-not-its-findings/384937/,,,,,,,,,,,,,
Yes,Problem,Associations,,Climate - Belief,,Canada and the US,Global Warming Scare Tactics,Ted Nordhaus and Michael Shellenberger,New York Times,8-Apr-14,Associations and fear,http://www.nytimes.com/2014/04/09/opinion/global-warming-scare-tactics.html,,,,,,,,,,,,,
Yes,Problem,Associations,,Climate - Belief,,Canada and the US,How to Win Friends and Bamboozle People About Climate Change,David Biello,Scientific American,6-Mar-15,Communication; review of a documentary about climate change communication,http://www.scientificamerican.com/article/how-to-win-friends-and-bamboozle-people-about-climate-change/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,Canada and the US,Climate science literacy unrelated to public acceptance of human-caused global warming,Yale University,Phys.org,23-Feb-15,Communication; study shows even climate-literate people doubt that global warming is human-caused,http://phys.org/news/2015-02-climate-science-literacy-unrelated-human-caused.html,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,Canada and the US,College studes are making global warming a moral issue. Here�s why that scares people,David Roberts,Vox,29-Apr-15,climate change is a moral issue; Associations,http://www.vox.com/2015/4/29/8512853/fossil-fuel-divestment,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,Canada and the US,"Instead of Arguing About Whether Climate Change is Real, Change the Story",frameworksinstitute,Frameworks Institute,25-Aug-14,,http://frameblog.org/2014/08/25/instead-of-arguing-about-whether-climate-change-is-real-change-the-story/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,Canada and the US,Simple Messages Increase Understanding of the Climate Change Consensus,"Teresay A. Myers, Edward Maibach, Ellen Peters and Anthony Leiserowitz",Yale Project on Climate Change Communication,7-Apr-15,quantitative Associations,http://environment.yale.edu/climate-communication/article/simple-messages-increase-understanding-of-the-climate-change-consensus/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Belief,,"Canada and the US, Europe",Pope Francis has given the climate movement just what it needed - faith,Chris Mooney,The Washington Post,30-Apr-15,"integrating climate science with religious values, practices, and rhetoric. Making the climate debate moral; communication and Associations",http://www.washingtonpost.com/news/energy-environment/wp/2015/04/30/pope-francis-has-given-the-climate-movement-just-what-it-needed-faith/?postshare=4411430764571913,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Easy, Hopeful, Ordinary, Relatable, Vivid",,Climate - Belief,,Canada and the US,Need to talk to a climate denier? Here's how,Mike Hower,GreenBiz,16-Dec-14,"Hower also discusses the recent CRED report, but emphasizes the potentialsolutions�that its authors suggest. The key�solutions�involve tailoring communications to ensure that they are personal and relevant to the audience's worldview, integrating climate�solutions�into social networks, emphasizingsolutions�and benefits, and including real-life stories to make climate�science�and its impacts meaningful; Communication; Using communucation and behavioral science principles to communicate climate issues",http://www.greenbiz.com/article/need-talk-climate-denier-heres-how,discusses the CRED report,,,,,,,,,,,,
Yes,Solution,"Associations, Hopeful",,Climate - Belief,,Europe,Bypass the hang-ups with the 'preparation frame',Max Leighton,Talking Climate,18-Apr-15,Associations advice,http://talkingclimate.org/bypass-the-hang-ups-with-the-preparation-frame/,,,,,,,,,,,,,
Yes,Solution,"Associations, Hopeful, Relatable",,Climate - Belief,,Canada and the US,How Pain Keeps Us From Acting on Climate Change,Elizabeth Hardee,Triple Pundit,29-Jun-15,Reversing the narrative of climate change as a source of pain to a source of pride ,http://www.triplepundit.com/2015/06/pain-keeps-us-acting-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Belief,,Canada and the US,Forget polar bears - The White House may have just figured out how to sell Americans on tackling climate change.,Josh Voorhees,Slate,3-Jun-14,public health Associations of global warming; Communicating environmental issues,http://www.slate.com/articles/news_and_politics/politics/2014/06/epa_emissions_regulations_and_climate_change_why_the_white_house_is_talking.html,Good pitch by Obama; it'll be interesting to see how effective it is - Abby,,,,,,,,,,,,
Yes,Problem,"Associations, Vivid",,Climate - Belief,,Canada and the US,How 'Solution Aversion' and Global Warming Prescriptions Polarize the Climate Debate,Andrew C. Revkin,The New York Times,10-Nov-14,"Revkin shares the results of a recent study appearing in the Journal of Personality and Social Psychology which finds that people will evaluate scientific evidence based on whether they believe its policy implications are politically desirable. Specifically, the study found that Republicans are likely to deny the existence of climate change because they are opposed to government regulation--not the science of climate change itself: Republicans were more likely to believe a statement predicting temperature increases when the proposed solution emphasized the free market than when the proposed solution involved taxes on carbon emissions.",http://dotearth.blogs.nytimes.com/2014/11/10/how-solution-aversion-and-global-warming-prescriptions-polarize-the-climate-debate/?emc=edit_tnt_20141111&nlid=59604398&tntemail0=y&_r=2,,,,,,,,,,,,,
Yes,Solution,"Associations, Vivid",,Climate - Belief,,Canada and the US,"Why Clear, Simple Messages Are the Key to Better Climate Understanding",Cindy Frei,ecoAffect,13-Apr-15,communication,http://ecoaffect.org/2015/04/13/why-clear-simple-messages-are-the-key-to-better-climate-understanding/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable",,Climate - Belief,,"Canada and the US, Europe",The great climate communication clash,Keri McNamara,Bristol Cabot Institute,11-Jun-15, Cultural cognition vs. consensus messaging:�challenges of climate communication in a polarized world,http://cabot-institute.blogspot.co.uk/2015/06/the-great-climate-communication-clash.html,,,,,,,,,,,,,
Yes,Problem,Confirmation Bias,,Climate - Belief,,Canada and the US,Why there is no liberal equivalent to climate change denial,Ben Adler,Grist,8-May-14,,http://grist.org/politics/why-there-is-no-liberal-equivalent-to-climate-change-denial/,NOT Decision Science but this may be good contact for our press release�,,,,,,,,,,,,
Yes,Problem,"Confirmation Bias, Identifiable Victim Effect",,Climate - Belief,,Canada and the US,The Media's Role in Climate Change Action,Reade Levinson,The Stanford Daily,11-Mar-15,"The Identifiable Victim Effect, confirmation bias, and the brain's inability to deal with uncertainty all influence how climate change is portrayed in the media--and our reaction to it; Communication; cognitive biases and failures in climate change communucation",http://www.stanforddaily.com/2015/03/11/the-medias-role-in-climate-change-action/,,,,,,,,,,,,,
Yes,Problem,General ,,Climate - Belief,,Canada and the US,Review: Don�t Even Think About It by George Marshall,Frank Kaminski,Resilience,5-Jan-15,,http://www.resilience.org/stories/2015-01-05/review-don-t-even-think-about-it-by-george-marshall,,,,,,,,,,,,,
Yes,Solution,Hopeful,,Climate - Belief,,Canada and the US,How Can We Make People Care About Climate Change?,Richard Schiffman,Yale Environment 360,9-Jul-15,,http://e360.yale.edu/feature/how_can_we_make_people_care_about_climate_change/2892/,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Make sure the context reflects the norm,Climate - Belief,,Canda and the US,Scientific Consensus on Climate Change as a Gateway Belief,N/A,Yale Project on Climate Change Communication,3-Mar-15,"Recent�work�from Yale University provides support for a gateway-based model for belief in climate change. The study shows that as subjects are exposed to messages about the scientific consensus on climate change, the strength of their belief that climate change is human-caused, poses and serious threat, and warrants public attention increases; communication",http://environment.yale.edu/climate-communication/article/scientific-consensus-on-climate-change-as-a-gateway-belief/,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Vivid",Ordinary - Make sure the context reflects the norm,Climate - Belief,,Canada and the US,Is it hot in here? Or is the climate changing?,Miller-McCune,grist,29-Jan-11,"Want someone to believe in climate change � turn the heat up! Author introduces the concept ""visceral fit,"" explaining that the temperature we feel at any given moment informs how we perceive the future of climate change. ",http://grist.org/article/2011-01-28-is-it-hot-in-here-or-is-the-climate-changing/,"interesting point: utilizing air conditioning might actually make us collectively less likely to react to climate change, even during a season that should otherwise prompt us to care about climate change. ",,,,,,,,,,,,
Yes,Solution,Associations ,,Climate - Communication,,Canada and the US,Three Traps to Avoid When Speaking About the�Environment,Lisa Bennett,lisabennet.org,31-Oct-14,communication,http://lisabennett.org/2014/10/31/three-traps-to-avoid-when-speaking-about-the-environment/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Canada and the US,Psychologists are Learning How to Convince Conservatives to Take Climate Change Seriously,Jesse Singal,Science of Us,1-Oct-14,climate change communication/ Associations for conservatives ,http://nymag.com/scienceofus/2014/09/how-to-convince-conservatives-on-climate-change.html?utm_content=buffercaf8d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,,,,,,,,,,,,,
